"index","name","rating","price","description","region","href","touroperator","date_tour","nights","type_room","meal","full_price","hotel_name","star","price_hotel","currency","district","city","meters_sea","modified_city","modified_distinct","modified_meters_sea"
0,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",standard room,BB - Только завтрак,"141 670 РУБ",Ibis Phuket Kata,"3",141670.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
1,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",family room,BB - Только завтрак,"147 557 РУБ",Ibis Phuket Kata,"3",147557.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
2,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",family room,BB - Только завтрак,"148 201 РУБ",Ibis Phuket Kata,"3",148201.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
3,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",standard room,Без питания,"150 225 РУБ",Ibis Phuket Kata,"3",150225.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
4,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",standard room,BB - Только завтрак,"151 697 РУБ",Ibis Phuket Kata,"3",151697.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
5,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",standard room,BB - Только завтрак,"152 617 РУБ",Ibis Phuket Kata,"3",152617.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
6,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",family room,BB - Только завтрак,"157 585 РУБ",Ibis Phuket Kata,"3",157585.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
7,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,TezTour,"2025-09-04 00:00:00","7 нч",standard room,BB - Только завтрак,"159 434 РУБ",Ibis Phuket Kata,"3",159434.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
8,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",family room,BB - Только завтрак,"162 368 РУБ",Ibis Phuket Kata,"3",162368.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
9,Ibis Phuket Kata 3*,"4.0","141 670","Уютный современный отель с удачным расположением относительно пляжа и инфраструктуры курорта. В распоряжении гостей открытый бассейн, ресторан и бар, бильярд, бесплатный Wi-Fi. Подойдет для всех категорий отдыхающих.","Ката, Пхукет, 300 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=ibis-phuket-kata,Lets Fly,"2025-09-08 00:00:00","8 + 1 нч",standard room,BB - Только завтрак,"162 687 РУБ",Ibis Phuket Kata,"3",162687.0,РУБ,Ката,Пхукет,"300 м",Пхукет,Ката,"300 м"
10,Naithonburi 4*,"4.5","145 073","Отель через дорогу от моря, построен в тайском стиле. За территорией отеля высятся горы, покрытые тропической зеленью. Гостеприимная атмосфера, дружелюбный персонал. Вариант для спокойного отдыха пар и семей.","Най Тхон, Пхукет, 40 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=naithonburi,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",superior room roh,BB - Только завтрак,"145 073 РУБ",Naithonburi,"4",145073.0,РУБ,Най Тхон,Пхукет,"40 м",Пхукет,Най Тхон,"40 м"
11,Naithonburi 4*,"4.5","145 073","Отель через дорогу от моря, построен в тайском стиле. За территорией отеля высятся горы, покрытые тропической зеленью. Гостеприимная атмосфера, дружелюбный персонал. Вариант для спокойного отдыха пар и семей.","Най Тхон, Пхукет, 40 м до моря",https://tourcart.ru/hotel?cd=98899954#!/hotel=naithonburi,Турплатформа,"2025-09-01 00:00:00","4 + 1 нч",superior pool view,BB - Только завтрак,"148 753 РУБ",Naithonburi,"4",148753.0,РУБ,Най Тхон,Пхукет,"40 м",Пхукет,Най Тхон,"40 м"
